cena,path
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\52.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\53.jpg
44.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\54.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\55.jpg
499.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\56.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\57.jpg
519.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\58.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\59.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\60.jpg
75.99,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\61.jpg
549.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\62.jpg
539.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\63.jpg
59.90,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\64.jpg
1119.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\65.jpg
115.40,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\66.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\67.jpg
579.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\68.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\69.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\70.jpg
91.85,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\71.jpg
44.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\72.jpg
699.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\73.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\74.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\75.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\76.jpg
869.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\77.jpg
44.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\78.jpg
629.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\79.jpg
75.99,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\80.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\81.jpg
1119.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\82.jpg
259.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\83.jpg
115.40,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\84.jpg
77.95,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\85.jpg
1449.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\86.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\87.jpg
49.90,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\88.jpg
259.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\89.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\90.jpg
409.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\91.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\92.jpg
44.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\93.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\94.jpg
138.95,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\95.jpg
115.40,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\96.jpg
75.99,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\97.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\98.jpg
1539.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\99.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\100.jpg
120.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\101.jpg
699.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\102.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\103.jpg
1039.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\104.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\105.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\106.jpg
77.95,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\107.jpg
115.40,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\108.jpg
249.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\109.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\110.jpg
49.90,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\111.jpg
629.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\112.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\114.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\115.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\116.jpg
91.85,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\117.jpg
133.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\118.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\119.jpg
869.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\120.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\121.jpg
149.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\122.jpg
1449.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\123.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\124.jpg
91.85,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\125.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\126.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\128.jpg
249.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\129.jpg
149.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\130.jpg
179.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\131.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\132.jpg
259.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\133.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\134.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\135.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\136.jpg
249.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\137.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\138.jpg
1449.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\139.jpg
169.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\140.jpg
659.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\141.jpg
699.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\142.jpg
179.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\143.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\144.jpg
269.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\145.jpg
129.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\146.jpg
75.99,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\147.jpg
129.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\148.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\149.jpg
439.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\150.jpg
309.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\151.jpg
279.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\152.jpg
669.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\153.jpg
129.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\154.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\155.jpg
809.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\156.jpg
539.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\157.jpg
259.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\158.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\159.jpg
339.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\160.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\161.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\162.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\163.jpg
44.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\164.jpg
87.14,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\165.jpg
139.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\166.jpg
1259.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\167.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\168.jpg
1409.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\169.jpg
179.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\171.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\172.jpg
55.95,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\173.jpg
89.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\174.jpg
279.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\175.jpg
219.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\176.jpg
89.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\177.jpg
1039.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\178.jpg
129.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\179.jpg
679.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\180.jpg
1659.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\181.jpg
139.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\182.jpg
1119.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\183.jpg
1669.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\184.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\185.jpg
699.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\186.jpg
269.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\187.jpg
44.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\188.jpg
139.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\189.jpg
329.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\190.jpg
809.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\191.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\192.jpg
84.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\193.jpg
249.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\194.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\195.jpg
539.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\196.jpg
179.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\197.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\198.jpg
59.90,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\200.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\201.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\202.jpg
129.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\203.jpg
159.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\204.jpg
339.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\205.jpg
529.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\206.jpg
289.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\207.jpg
1199.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\208.jpg
109.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\209.jpg
89.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\210.jpg
1199.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\211.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\212.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\213.jpg
449.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\214.jpg
219.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\215.jpg
1669.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\216.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\217.jpg
59.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\218.jpg
69.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\219.jpg
269.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\220.jpg
87.95,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\221.jpg
68.95,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\222.jpg
419.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\223.jpg
219.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\225.jpg
499.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\226.jpg
129.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\227.jpg
599.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\229.jpg
79.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\230.jpg
459.00,C:\Users\micpo\PycharmProjects\Zalando_Web_Scraping_Sunglasses\okulary_zdjecia_bigger\231.jpg
